DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-04 15:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8481.8	2022-03-04 17:45:59
2022-03-04 14:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8414.3	2022-03-04 16:46:00
2022-03-04 13:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8394.9	2022-03-04 15:45:56
2022-03-04 12:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8481.9	2022-03-04 14:46:03
2022-03-04 11:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8668.4	2022-03-04 13:46:03
2022-03-04 10:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8935.8	2022-03-04 12:45:57
2022-03-04 09:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8995.9	2022-03-04 11:45:58
2022-03-04 08:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9102.2	2022-03-04 10:46:02
2022-03-04 07:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9235.6	2022-03-04 09:46:10
2022-03-04 06:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9068.9	2022-03-04 08:45:57
2022-03-04 05:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8404.6	2022-03-04 07:45:54
2022-03-04 04:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7351.6	2022-03-04 06:45:54
2022-03-04 03:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6763.9	2022-03-04 05:45:53
2022-03-04 02:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6599.9	2022-03-04 04:45:55
2022-03-04 01:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6615.0	2022-03-04 03:45:56
2022-03-04 00:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6683.9	2022-03-04 02:45:54
2022-03-03 23:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6881.4	2022-03-04 01:45:52
2022-03-03 22:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7154.2	2022-03-05 10:15:59
